"id","RI","Raw.file","celltype","lcbatch","sortday","digest","cvm"
"i297","Reporter.intensity.corrected.9","XwAL00129","BxPC3","D","B","C",0.285749449206633
"i298","Reporter.intensity.corrected.10","XwAL00129","BxPC3","D","B","C",0.302387218951952
"i299","Reporter.intensity.corrected.11","XwAL00129","BxPC3","D","B","C",0.275829552403754
"i30","Reporter.intensity.corrected.14","XwAL00092","HPAFII","A","B","C",0.2775872568624
"i300","Reporter.intensity.corrected.12","XwAL00129","BxPC3","D","B","C",0.310625327877454
"i301","Reporter.intensity.corrected.13","XwAL00129","control","D","B","C",0.691935595663528
"i302","Reporter.intensity.corrected.14","XwAL00129","HPAFII","D","B","C",0.324035381007377
"i303","Reporter.intensity.corrected.15","XwAL00129","HPAFII","D","B","C",0.388012240535381
"i304","Reporter.intensity.corrected.16","XwAL00129","HPAFII","D","B","C",0.285642649599949
"i309","Reporter.intensity.corrected.5","XwAL00130","CFPACI","D","B","C",0.317500272175372
"i31","Reporter.intensity.corrected.15","XwAL00092","HPAFII","A","B","C",0.242035244504466
"i310","Reporter.intensity.corrected.6","XwAL00130","CFPACI","D","B","C",0.322880358800457
"i311","Reporter.intensity.corrected.7","XwAL00130","CFPACI","D","B","C",0.284016009391347
"i312","Reporter.intensity.corrected.8","XwAL00130","CFPACI","D","B","C",0.32950423581783
"i313","Reporter.intensity.corrected.9","XwAL00130","BxPC3","D","B","C",0.283882845972314
"i314","Reporter.intensity.corrected.10","XwAL00130","BxPC3","D","B","C",0.301644349869381
"i315","Reporter.intensity.corrected.11","XwAL00130","BxPC3","D","B","C",0.303998842813573
"i316","Reporter.intensity.corrected.12","XwAL00130","control","D","B","C",0.667084640556859
"i317","Reporter.intensity.corrected.13","XwAL00130","HPAFII","D","B","C",0.304176251220767
"i318","Reporter.intensity.corrected.14","XwAL00130","HPAFII","D","B","C",0.310235339265973
"i319","Reporter.intensity.corrected.15","XwAL00130","HPAFII","D","B","C",0.315081405457177
"i32","Reporter.intensity.corrected.16","XwAL00092","HPAFII","A","B","C",0.285242762691676
"i320","Reporter.intensity.corrected.16","XwAL00130","HPAFII","D","B","C",0.314301902625338
"i37","Reporter.intensity.corrected.5","XwAL00093","CFPACI","A","B","C",0.295051150587849
"i38","Reporter.intensity.corrected.6","XwAL00093","CFPACI","A","B","C",0.248585901650708
"i39","Reporter.intensity.corrected.7","XwAL00093","CFPACI","A","B","C",0.270080137583293
"i40","Reporter.intensity.corrected.8","XwAL00093","CFPACI","A","B","C",0.300527779670667
"i41","Reporter.intensity.corrected.9","XwAL00093","BxPC3","A","B","C",0.241949397433038
"i42","Reporter.intensity.corrected.10","XwAL00093","BxPC3","A","B","C",0.300259607726775
"i43","Reporter.intensity.corrected.11","XwAL00093","BxPC3","A","B","C",0.270272211836656
"i44","Reporter.intensity.corrected.12","XwAL00093","control","A","B","C",0.72388666773818
"i45","Reporter.intensity.corrected.13","XwAL00093","HPAFII","A","B","C",0.290692304970146
"i46","Reporter.intensity.corrected.14","XwAL00093","HPAFII","A","B","C",0.647930584111395
"i47","Reporter.intensity.corrected.15","XwAL00093","HPAFII","A","B","C",0.28657898982653
"i48","Reporter.intensity.corrected.16","XwAL00093","HPAFII","A","B","C",0.273184721245211
"i5","Reporter.intensity.corrected.5","XwAL00091","HPAFII","A","B","C",0.312840060228423
"i53","Reporter.intensity.corrected.5","XwAL00094","CFPACI","A","B","C",0.31096918956764
"i54","Reporter.intensity.corrected.6","XwAL00094","CFPACI","A","B","C",0.281042787699567
"i55","Reporter.intensity.corrected.7","XwAL00094","CFPACI","A","B","C",0.283826553622287
"i56","Reporter.intensity.corrected.8","XwAL00094","BxPC3","A","B","C",0.255328126285418
"i57","Reporter.intensity.corrected.9","XwAL00094","BxPC3","A","B","C",0.250723370472816
"i58","Reporter.intensity.corrected.10","XwAL00094","BxPC3","A","B","C",0.243935202463371
"i59","Reporter.intensity.corrected.11","XwAL00094","control","A","B","C",0.790925853540017
"i6","Reporter.intensity.corrected.6","XwAL00091","HPAFII","A","B","C",0.244203256710452
"i60","Reporter.intensity.corrected.12","XwAL00094","HPAFII","A","B","C",0.2275483117806
"i61","Reporter.intensity.corrected.13","XwAL00094","HPAFII","A","B","C",0.264924652139797
"i62","Reporter.intensity.corrected.14","XwAL00094","HPAFII","A","B","C",0.290294736125869
"i63","Reporter.intensity.corrected.15","XwAL00094","HPAFII","A","B","C",0.260902374544217
"i64","Reporter.intensity.corrected.16","XwAL00094","CFPACI","A","B","C",0.245583281334766
